"iso","Year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"GRD",2012,39.73595788204374062,24104.987235455395966
"GTM",2012,84044.44087504026015240,40526610.296484394062975
"GUF",2012,9772.71485812779120262,7717289.722893368440245
"GUY",2012,13111.82808582279669075,8854950.295278303729061
"HKG",2012,14.18819789411011468,6483.327755646382882
"HND",2012,32305.49519656374826831,15302075.955315488705230
"HRV",2012,5004.428537301906071681,2175181.965119309019879
"HTI",2012,4272.74683475898847177,1768199.705142646467029
"HUN",2012,11921.858273254234051163,4614807.9370374831563673
"IDN",2012,2260260.50460393344193798,1689746379.374007109458316
"IMN",2012,31.303038709619795145,11952.872950478252338
"IND",2012,95068.55768095131087386,45170784.5191626041176232
"IRL",2012,5825.902587676928796560,2843476.7593852002301443
"IRN",2012,407.391273893924621555,101854.713727807251379
"IRQ",2012,9.132024872413046426,2143.622722823628016
"ISR",2012,49.23018969852068891,12147.816923975721476
"ITA",2012,21489.452658458682969929,6495314.6955409226947471
"JAM",2012,2603.68579339091483047,1405248.138249158910570
"JEY",2012,6.681639585086424099,2950.719049094550629
"JOR",2012,0.13055328269313495,27.639239429324520
"JPN",2012,45672.063610167020072088,21154651.0626921402718895
"KAZ",2012,3741.514267643299262978,1211975.0527838769444749
"KEN",2012,17899.13670323004250411,9176349.913282993048151
"KGZ",2012,84.65660715938382793,27926.6939354113487586
"KHM",2012,195568.95713090462693371,122261728.8166462849213755
"KNA",2012,10.74117123527358815,5105.813048116754459
"KOR",2012,15941.075642957328729376,5664780.5072081618292415
"LAO",2012,147537.12349925751210441,77855930.969980495993958
"LBN",2012,170.00537517873820297,48144.643946313688188
"LBR",2012,72113.93990390955911567,36335203.511345042574873
"LBY",2012,4.93464658057058593,1066.504610934337490
"LCA",2012,67.10805567304293771,36991.032596888784467
"LIE",2012,3.845795911291560756,2149.431372815919118
"LKA",2012,14427.63468578157211300,5130992.2415508616160695
"LSO",2012,3.30016147287752178,884.363923560381784
"LTU",2012,17602.900557838731156691,5972426.212596473659970
"LUX",2012,444.289455326859118478,255170.330799245799957
"LVA",2012,34285.458226146806704685,11234509.552975574967090
"MAC",2012,0.71398733369028054,0.0
"MAF",2012,3.44178225189108078,1220.64052345910030
"MAR",2012,1689.89017090522300923,494442.491739747956887
"MDA",2012,1771.532315284821475274,510562.3016623720254975
"MDG",2012,128468.16279300883741517,61127818.292589763354139
"MDV",2012,2.45074320133603770,85.80434408822332
"MEX",2012,174753.06375341992576663,67677016.2844118737271404
"MKD",2012,2938.742772903562463983,1157329.472503336559765
"MLI",2012,78.92125094871478563,24096.820720515413084
"MLT",2012,0.31300136191191907,75.984881334549886
"MMR",2012,225188.71229879410018860,123499792.593983157156278
"MNE",2012,1258.602534796795815067,510203.7941343468592167
"MNG",2012,34640.341139668172878512,4614667.376549969045558
"MOZ",2012,139946.21504135000153486,50827614.716623011717416
"MSR",2012,2.21233216460063691,1089.146474746231465
"MTQ",2012,308.42506400748161655,160261.805035745688727
"MUS",2012,152.47020560557827182,76819.828084696198537
"MWI",2012,12173.04706639289052845,5640909.284584809566618
"MYS",2012,628171.04428606083430118,405214977.740048246234434
"MYT",2012,131.05118074520720280,61562.388653354294353
"NAM",2012,25.83249602474068979,4419.937185116992464
"NCL",2012,838.32798702364510970,377647.082569944446460
"NER",2012,0.07476342612956366,0.0
"NGA",2012,34970.91983791023866654,16428232.722380842263219
"NIC",2012,33723.43777238712253045,17947165.818178258993582
"NLD",2012,946.757002246853426898,430412.022542176024024
"NOR",2012,29947.08815876771239887,7496886.3379167147312486
"NPL",2012,5045.04521503272613470,3015109.000789438833139
"NZL",2012,69498.515881038473191884,41201341.176453242961596
"PAK",2012,238.83694023711570195,90338.390446308563229
"PAN",2012,17044.26955052029926146,9429541.189884331026777
"PER",2012,275458.13389348376569580,176203816.3456434915417772
